text,label
Turn on the AC,turn_on_ac
Switch on the AC,turn_on_ac
Start the air conditioner,turn_on_ac
Enable the AC,turn_on_ac
Turn the air conditioning on,turn_on_ac
Please turn on the AC,turn_on_ac
Can you turn on the AC,turn_on_ac
Activate the air conditioner,turn_on_ac
Start cooling the cabin,turn_on_ac
Cool the car,turn_on_ac
Make the cabin cooler,turn_on_ac
Enable climate control,turn_on_ac
Switch on air conditioning,turn_on_ac
Turn on cabin cooling,turn_on_ac
Begin cooling,turn_on_ac
I want the AC on,turn_on_ac
It is too hot please turn on the AC,turn_on_ac
Start the cooling system,turn_on_ac
Power on the AC,turn_on_ac
Activate cooling,turn_on_ac
Turn on the cooling,turn_on_ac
Please start the AC,turn_on_ac
Switch the AC on,turn_on_ac
Enable cool air,turn_on_ac
Start the climate control,turn_on_ac
Cool down the cabin,turn_on_ac
Turn on cold air,turn_on_ac
Make it cooler inside,turn_on_ac
Lower the cabin temperature,turn_on_ac
Start the air cooling,turn_on_ac
Give me cool air,turn_on_ac
Begin air conditioning,turn_on_ac
Switch on cabin AC,turn_on_ac
Activate the cooling system,turn_on_ac
Turn on vehicle AC,turn_on_ac
Start cabin air conditioning,turn_on_ac
I need the AC,turn_on_ac
Please cool the cabin,turn_on_ac
Enable vehicle cooling,turn_on_ac
Turn the AC back on,turn_on_ac
Start fresh air cooling,turn_on_ac
Turn on the cooling system,turn_on_ac
Can you start the air conditioner,turn_on_ac
Bring down the temperature,turn_on_ac
Activate cabin cooling,turn_on_ac
Switch on the cooling system,turn_on_ac
Turn on interior cooling,turn_on_ac
Enable cold air,turn_on_ac
Cool the interior,turn_on_ac
Start AC now,turn_on_ac
Turn off the AC,turn_off_ac
Switch off the AC,turn_off_ac
Stop the air conditioner,turn_off_ac
Disable the AC,turn_off_ac
Turn the air conditioning off,turn_off_ac
Please turn off the AC,turn_off_ac
Can you turn off the AC,turn_off_ac
Deactivate the air conditioner,turn_off_ac
Stop cooling the cabin,turn_off_ac
Stop the cooling,turn_off_ac
Disable climate control,turn_off_ac
Switch off air conditioning,turn_off_ac
Turn off cabin cooling,turn_off_ac
End cooling,turn_off_ac
I do not need the AC anymore,turn_off_ac
It is cold please turn off the AC,turn_off_ac
Stop the cooling system,turn_off_ac
Power off the AC,turn_off_ac
Deactivate cooling,turn_off_ac
Please stop the AC,turn_off_ac
Switch the AC off,turn_off_ac
Disable cool air,turn_off_ac
Stop climate control,turn_off_ac
Turn off cold air,turn_off_ac
Raise the cabin temperature,turn_off_ac
Stop the air cooling,turn_off_ac
No more cool air,turn_off_ac
Disable air conditioning,turn_off_ac
Switch off cabin AC,turn_off_ac
Deactivate the cooling system,turn_off_ac
Turn off vehicle AC,turn_off_ac
